date,"Caledonia Energy Partners, L.L.C.",BayGas Storage,East Cheyenne Gas Storage,Freebird Gas Storage L.L.C.
2017-10-01,0,379312,350308,0
2017-10-08,-213500,-784063,262115,-175000
2017-10-15,0,459564,398714,0
2017-10-22,-39636,715575,60950,-30000
2017-10-29,-140000,-188304,-106241,-140000
2017-11-05,-160000,-356874,82857,-160000
2017-11-12,0,166120,274779,0
2017-11-19,-115000,221360,407547,-115000
2017-11-26,-40320,79381,298973,-4880
2017-12-03,-303320,182736,-339892,-87080
2017-12-10,-551120,-173891,-814193,-193080
2017-12-17,-191120,-28425,-829796,-17080
2017-12-24,-609360,-921552,-928234,-357080
2017-12-31,-1467040,-3873467,-610835,-1123190
2018-01-07,-723625,338324,-622732,-714744
2018-01-14,-1124344,-1929612,-484498,-829744
2018-01-21,-423418,700928,-456223,-689744
2018-01-28,-381598,42258,-414966,-564333
2018-02-04,-240254,-118603,-380236,-413785
2018-02-11,-105000,-352420,-317161,-198785
2018-02-18,-37000,-85074,-279361,-113785
2018-02-25,-97743,28381,-286479,-164120
2018-03-04,-190067,200347,-222312,-166224
2018-03-11,-185067,330612,-179530,-171224
2018-03-18,-107067,-336646,-217992,-91224
2018-03-25,-114324,-285067,-140713,-112128
2018-04-01,-180000,-157842,-226251,-230000
2018-04-08,-104655,-102444,-298498,-106072
2018-04-15,0,643099,-193692,-101000
2018-04-22,0,446056,-65042,0
2018-04-29,-39600,572650,13902,-9675
2018-05-06,-55440,360482,97713,-13545
2018-05-13,-60440,651900,224324,-13545
2018-05-20,-55440,100894,437850,-13545
2018-05-27,-135273,161523,398218,-57725
2018-06-03,-194838,-274579,-57978,-41200
2018-06-10,-443338,248911,-77533,-376000
2018-06-17,-528338,-321220,268299,-554200
2018-06-24,-294838,189258,652663,-214000
2018-07-01,-235175,-298173,-188009,-330000
2018-07-08,-270245,-654534,-509566,-340000
2018-07-15,-370245,-682651,-600953,-480000
2018-07-22,-145285,-283671,-297935,-205000
2018-07-29,-60100,85363,-218903,-75000
2018-08-05,-175374,-773998,-17946,-190000
2018-08-12,-350028,-459234,-298210,-263000
2018-08-19,-214143,-149608,-130902,-336900
2018-08-26,-336127,-53896,-122519,-426000
2018-09-02,-563881,-434723,284300,-430165
2018-09-09,-515365,-1021180,326438,-446331
2018-09-16,-738874,-1157495,481866,-468331
2018-09-23,-280669,-467268,537916,-353331
2018-09-30,-180497,-78364,478281,-240647
2018-10-07,-125635,107962,283501,-210380
2018-10-14,-185635,-52153,249026,-250649
2018-10-21,-155635,350725,314144,-299149
2018-10-28,-66265,786500,242090,-167197
2018-11-04,-19000,-284552,61123,-390386
2018-11-11,-283000,-602169,63683,-679388
2018-11-18,-7000,207792,85106,-223592
2018-11-25,-201622,154621,-32016,-451582
2018-12-02,-302814,-547044,-734507,-408876
2018-12-09,-256684,-272225,-475502,-219376
2018-12-16,-90672,41754,-380400,-35608
2018-12-23,-87472,265979,-446300,-27376
2018-12-30,-174479,632824,-334679,-191462
2019-01-06,-230952,660266,-336775,-213546
2019-01-13,-498192,-153743,-344145,-237724
2019-01-20,-1100453,-475156,-201168,-676724
2019-01-27,-1111630,-1362314,-80739,-818696
2019-02-03,-339661,-128093,-39970,-503998
2019-02-10,-507020,-651388,-47005,-741998
2019-02-17,-750919,-1279493,-102997,-939998
2019-02-24,-661206,-974610,-96928,-763725
2019-03-03,-1003244,-1196308,-96582,-782245
2019-03-10,-290000,-3360,-44892,-247670
2019-03-17,-223020,301957,-23830,-252670
2019-03-24,-188208,625118,21342,-192670
2019-03-31,-286756,671038,-6020,-316896
2019-04-07,-194537,240571,13002,-257296
2019-04-14,-194537,636696,85273,-315964
2019-04-21,-221237,572761,159846,-251523
2019-04-28,-274469,46203,202006,-232619
2019-05-05,-361683,-101873,159046,-107457
2019-05-12,-361683,-60085,151754,-113379
2019-05-19,-436683,-507340,325563,-171979
2019-05-26,-360535,-653028,299242,-152571
2019-06-02,-103982,-159863,386095,-97911
2019-06-09,-122727,406346,559143,-118154
2019-06-16,-300255,87790,675363,-158154
2019-06-23,-174066,-254402,492516,-138242
2019-06-30,-559988,363318,498126,-466382
2019-07-07,-562692,-48919,424106,-405429
2019-07-14,-632797,-992601,297296,-483625
2019-07-21,-225806,378845,256506,-382163
2019-07-28,-614474,-57240,234521,-425586
2019-08-04,-507291,-113642,191290,-367544
2019-08-11,-372287,-156720,318620,-402358
2019-08-18,-231307,-351659,432706,-490596
2019-08-25,-146726,-617866,505625,-194076
2019-09-01,-300880,-844811,449522,-340102
2019-09-08,-572588,-413878,363833,-199336
2019-09-15,-76000,412661,382174,-123002
2019-09-22,-130574,347790,441021,-156670
2019-09-29,-279232,233541,539667,-112358
2019-10-06,-86532,1386548,388913,-2352
2019-10-13,-95954,959223,519513,-2352
2019-10-20,-147954,159108,329081,-32352
2019-10-27,-215728,-76104,145348,-40650
2019-11-03,-52000,102483,139096,-56500
2019-11-10,-521641,416773,83502,-242300
2019-11-17,-136000,280548,16380,-36875
2019-11-24,-55000,1028183,-228882,-29000
2019-12-01,-416250,228238,-206481,-179378
2019-12-08,-243500,29914,-57319,-366333
2019-12-15,-269561,-316961,-348735,-252133
2019-12-22,-33500,634776,43024,-63933
2019-12-29,-194856,28895,299906,-154756
2020-01-05,-328264,417169,325499,-297899
2020-01-12,-326114,286590,138092,-271899
2020-01-19,-650484,146289,-21724,-402709
2020-01-26,-552122,-8072,-57306,-419826
2020-02-02,-359693,-327465,-687922,-331796
2020-02-09,-439137,-445603,-621216,-575362
2020-02-16,-347503,-495000,-504425,-492162
2020-02-23,-251617,-198769,-439969,-389548
2020-03-01,-153834,118093,25328,-352282
2020-03-08,-139373,226011,179296,-231782
2020-03-15,-172524,-75415,-23892,-131282
2020-03-22,-178873,215627,99991,-69077
2020-03-29,-20328,423466,417022,-96234
2020-04-05,-48185,256347,408979,-169723
2020-04-12,-238242,169497,431539,-286723
2020-04-19,-43185,292687,619606,-169723
2020-04-26,-5822,548393,649840,-128924
2020-05-03,-83058,-388664,645637,-99423
2020-05-10,-101308,189697,644736,-120248
2020-05-17,-33058,-489023,597137,-81923
2020-05-24,-98058,18020,590436,-111923
2020-05-31,-82839,-33100,570241,-116923
2020-06-07,-92100,-606189,708577,-130034
2020-06-14,-67000,530095,669511,-110423
2020-06-21,-47911,-483791,515364,-129090
2020-06-28,-87262,-52817,606167,-72968
2020-07-05,-201417,95814,320178,-98550
2020-07-12,-162100,-188068,88153,-105700
2020-07-19,-284413,397229,168327,-192666
2020-07-26,-156200,-158728,143410,-87150
2020-08-02,-87200,-106924,343082,-39700
2020-08-09,-237367,109797,44889,-106000
2020-08-16,-30000,453325,-59073,-24300
2020-08-23,-229180,-1361249,-117418,-80600
2020-08-30,-46367,-151533,265456,-47833
2020-09-06,-7000,892668,330654,-16300
2020-09-13,-11750,31130,204417,-34197
2020-09-20,-5000,312237,140838,-42894
2020-09-27,-35260,412334,69239,-79947
2020-10-04,-91700,-509606,33857,-25745
