date,"Caledonia Energy Partners, L.L.C.",BayGas Storage,East Cheyenne Gas Storage,Freebird Gas Storage L.L.C.
2020-10-08 22:05:00,-34420,-117096,3607,-5649
2020-10-07 22:05:00,-35020,-160748,-2384,-10649
2020-10-06 22:05:00,-12420,-204089,6195,-5649
2020-10-05 22:05:00,-7420,-101314,9855,-3149
2020-10-04 22:05:00,-2420,73641,16584,-649
2020-10-03 22:05:00,-2420,92160,16584,-649
2020-10-02 22:05:00,-14420,154897,3289,-56727
2020-10-01 22:05:00,-14420,4195,-6635,-14571
2020-09-30 22:05:00,-1000,190375,1318,-2000
2020-09-29 22:05:00,-1000,70885,2268,-2000
2020-09-28 22:05:00,-1000,-17584,33095,-2000
2020-09-27 22:05:00,-1000,-82594,19320,-2000
2020-09-26 22:05:00,-1000,-24651,19320,-2000
2020-09-25 22:05:00,-1000,-24021,19989,-2000
2020-09-24 22:05:00,-1000,71614,18699,-2000
2020-09-23 22:05:00,-1000,80380,11272,-2000
2020-09-22 22:05:00,-1000,155502,8002,-2000
2020-09-21 22:05:00,0,67759,28466,-16447
2020-09-20 22:05:00,0,-14346,35090,-16447
2020-09-19 22:05:00,0,-44183,36390,-16447
2020-09-18 22:05:00,-1000,68654,21175,-2000
2020-09-17 22:05:00,-1000,-10765,21321,-2000
2020-09-16 22:05:00,-1000,17715,26352,-2000
2020-09-15 22:05:00,-6750,672,17523,-7750
2020-09-14 22:05:00,-1000,-70313,38334,-2000
2020-09-13 22:05:00,-1000,69350,43322,-2000
2020-09-12 22:05:00,-1000,61827,43322,-2000
2020-09-11 22:05:00,-1000,32713,38146,-2000
2020-09-10 22:05:00,-1000,38848,25568,-4300
2020-09-09 22:05:00,-1000,-18936,47134,-2000
2020-09-08 22:05:00,-1000,321722,58828,-2000
2020-09-07 22:05:00,-1000,288556,58828,-2000
2020-09-06 22:05:00,-1000,167938,58828,-2000
2020-09-05 22:05:00,-1000,105912,58828,-2000
2020-09-04 22:05:00,-3000,-15973,-30344,-4000
2020-09-03 22:05:00,-28000,-66069,3717,-22000
2020-09-02 22:05:00,-13367,-91280,49590,-17833
2020-09-01 22:05:00,-1000,-37249,57306,-2000
2020-08-31 22:05:00,0,47507,63205,0
2020-08-30 22:05:00,0,-94381,63154,0
2020-08-29 22:05:00,0,-144394,63190,0
2020-08-28 22:05:00,-20100,-129036,23487,-36600
2020-08-27 22:05:00,-39945,-182550,-10377,-10000
2020-08-26 22:05:00,-59135,-184215,-79367,-9000
2020-08-25 22:05:00,-110000,-309949,-68028,-25000
2020-08-24 22:05:00,0,-223816,-21835,0
2020-08-23 22:05:00,0,-187289,-24488,0
2020-08-22 22:05:00,0,86023,-16835,0
2020-08-21 22:05:00,0,16424,5523,0
2020-08-20 22:05:00,0,59124,-28337,0
2020-08-19 22:05:00,-15000,66524,-718,-7500
2020-08-18 22:05:00,-15000,66126,-16402,-16800
2020-08-17 22:05:00,0,99552,-6117,0
2020-08-16 22:05:00,0,59552,3813,0
2020-08-15 22:05:00,0,84509,3813,0
2020-08-14 22:05:00,0,108122,-62529,0
2020-08-13 22:05:00,-20000,6596,-8976,-10000
2020-08-12 22:05:00,-46000,41536,-7265,-31000
2020-08-11 22:05:00,-131367,16004,-33141,-45000
2020-08-10 22:05:00,-40000,-125985,72551,-20000
2020-08-09 22:05:00,0,-20985,80436,0
2020-08-08 22:05:00,0,-985,80443,0
2020-08-07 22:05:00,-5000,-51875,53651,-2500
2020-08-06 22:05:00,-26500,-14676,63441,-9000
2020-08-05 22:05:00,-25700,-976,73507,-13200
2020-08-04 22:05:00,-30000,16505,30862,-15000
2020-08-03 22:05:00,0,-67619,14433,0
2020-08-02 22:05:00,0,12702,26745,0
2020-08-01 22:05:00,1000,-73125,26745,0
2020-07-31 22:05:00,-18400,-116336,12032,-12150
2020-07-30 22:05:00,-38800,-102900,-21164,-25000
2020-07-29 22:05:00,-30000,80896,-13161,-15000
2020-07-28 22:05:00,-30000,-17447,9221,-15000
2020-07-27 22:05:00,-40000,75092,62269,-20000
2020-07-26 22:05:00,0,-4908,67468,0
2020-07-25 22:05:00,0,25092,63235,0
2020-07-24 22:05:00,-10000,-19753,71652,-5000
2020-07-23 22:05:00,-30000,123259,42655,-20000
2020-07-22 22:05:00,-20000,214261,860,-12500
2020-07-21 22:05:00,-128046,44944,-36573,-84433
2020-07-20 22:05:00,-96367,28364,13249,-47033
2020-07-19 22:05:00,0,-18938,13249,-23700
2020-07-18 22:05:00,-10000,176062,13249,-28700
