date,tsp_name,loc,tsq
"October 30, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-40000
"October 30, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,5000
"October 29, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-40000
"October 29, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,5000
"October 28, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"October 28, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,5000
"October 27, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"October 27, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,0
"October 26, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-39636
"October 26, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,0
"October 25, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"October 25, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,0
"October 24, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"October 24, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,0
"October 23, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"October 23, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,13000
"October 22, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"October 22, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,53816
"October 21, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"October 21, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,53816
"October 20, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"October 20, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,55816
"October 19, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"October 19, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,63816
"October 18, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"October 18, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,43316
"October 17, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"October 17, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,40816
"October 16, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"October 16, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,40816
"October 15, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"October 15, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,40816
"October 14, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"October 14, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,40816
"October 13, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"October 13, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,40816
"October 12, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-28000
"October 12, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,20408
"October 11, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-40000
"October 11, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,0
"October 10, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-60500
"October 10, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,0
"October 9, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-45000
"October 9, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,0
"October 8, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-40000
"October 8, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,0
"October 7, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"October 7, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,0
"October 6, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"October 6, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,25510
"October 5, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"October 5, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,500
"October 4, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"October 4, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,0
"October 3, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"October 3, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,35714
"October 2, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"October 2, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,43663
"October 1, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"October 1, 2017 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,43663
"October 30, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 30, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,2500
"October 30, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,-40000
"October 29, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
