date,tsp_name,loc,tsq
"October 8, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-34420
"October 8, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,0
"October 7, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-35020
"October 7, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,0
"October 6, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-12420
"October 6, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,0
"October 5, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-7420
"October 5, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,0
"October 4, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-2420
"October 4, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,5102
"October 3, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-2420
"October 3, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,5102
"October 2, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-14420
"October 2, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,5102
"October 1, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-14420
"October 1, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,5102
"September 30, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-1000
"September 30, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,11204
"September 29, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-1000
"September 29, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,21408
"September 28, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-1000
"September 28, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,21408
"September 27, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-1000
"September 27, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,11204
"September 26, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-1000
"September 26, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,11204
"September 25, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-1000
"September 25, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,11204
"September 24, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-1000
"September 24, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,11204
"September 23, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-1000
"September 23, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,16306
"September 22, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-1000
"September 22, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,16306
"September 21, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"September 21, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,26666
"September 20, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"September 20, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,28794
"September 19, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"September 19, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,32406
"September 18, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-1000
"September 18, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,25637
"September 17, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-1000
"September 17, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,33337
"September 16, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-1000
"September 16, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,20035
"September 15, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-6750
"September 15, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,5919
"September 14, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-1000
"September 14, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,38212
"September 13, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-1000
"September 13, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,71151
"September 12, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-1000
"September 12, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,61017
"September 11, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-1000
"September 11, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,37007
"September 10, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-1000
"September 10, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,32113
"September 9, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-1000
"September 9, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,27015
"September 8, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-1000
"September 8, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,56309
"September 7, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-1000
"September 7, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,92351
"September 6, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-1000
"September 6, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,93230
"September 5, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-1000
"September 5, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,83039
"September 4, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-3000
"September 4, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,51031
"September 3, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-28000
"September 3, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,46908
"September 2, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-13367
"September 2, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,47222
"September 1, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-1000
"September 1, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,52029
"August 31, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"August 31, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,34956
"August 30, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"August 30, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,34956
"August 29, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"August 29, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,40058
"August 28, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-20100
"August 28, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,12204
"August 27, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-39945
"August 27, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,22408
"August 26, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-59135
"August 26, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,22408
"August 25, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-110000
"August 25, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,1600
"August 24, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"August 24, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,30602
"August 23, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"August 23, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,66316
"August 22, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"August 22, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,66316
"August 21, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"August 21, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,32612
"August 20, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"August 20, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,11704
"August 19, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-15000
"August 19, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,1700
"August 18, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-15000
"August 18, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,1500
"August 17, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"August 17, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,7202
"August 16, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"August 16, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,12304
"August 15, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"August 15, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,32508
"August 14, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"August 14, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,12304
"August 13, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-20000
"August 13, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,1750
"August 12, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-46000
"August 12, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,2000
"August 11, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-131367
"August 11, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,2000
"August 10, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-40000
"August 10, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,4965
"August 9, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"August 9, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,45781
"August 8, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"August 8, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,45781
"August 7, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-5000
"August 7, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,2000
"August 6, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-26500
"August 6, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,8325
"August 5, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-25700
"August 5, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,4216
"August 4, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-30000
"August 4, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,12000
"August 3, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"August 3, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,2000
"August 2, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"August 2, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,17306
"August 1, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,1000
"August 1, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,2000
"July 31, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-18400
"July 31, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,3810
"July 30, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-38800
"July 30, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,4283
"July 29, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-30000
"July 29, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,2783
"July 28, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-30000
"July 28, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,2783
"July 27, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-40000
"July 27, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,4283
"July 26, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"July 26, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,4783
"July 25, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"July 25, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,4783
"July 24, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-10000
"July 24, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,3283
"July 23, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-30000
"July 23, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,3283
"July 22, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-20000
"July 22, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,3283
"July 21, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-128046
"July 21, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,3283
"July 20, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-96367
"July 20, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,4283
"July 19, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"July 19, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,20089
"July 18, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-10000
"July 18, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,4783
"July 17, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-50000
"July 17, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,3283
"July 16, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-30100
"July 16, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,3283
"July 15, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-30000
"July 15, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,3283
"July 14, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-32000
"July 14, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,1283
"July 13, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-10000
"July 13, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,1283
"July 12, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"July 12, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,21691
"July 11, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-5000
"July 11, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,1283
"July 10, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-45767
"July 10, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,1283
"July 9, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-78650
"July 9, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,2283
"July 8, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-30000
"July 8, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,2812
"July 7, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-32000
"July 7, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,2783
"July 6, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-10000
"July 6, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,11633
"July 5, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"July 5, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,15814
"July 4, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-5000
"July 4, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,11633
"July 3, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-5000
"July 3, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,11633
"July 2, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-10000
"July 2, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,1354
"July 1, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-10000
"July 1, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,11283
"June 30, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-35200
"June 30, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,3010
"June 29, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-10000
"June 29, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,8113
"June 28, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-12062
"June 28, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,24919
"June 27, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"June 27, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,24919
"June 26, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"June 26, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,13715
"June 25, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-5000
"June 25, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,7613
"June 24, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-11
"June 24, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,11
"June 23, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-25000
"June 23, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,3011
"June 22, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-7900
"June 22, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,3011
"June 21, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-10000
"June 21, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,14215
"June 20, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"June 20, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,4011
"June 19, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"June 19, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,23419
"June 18, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"June 18, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,22919
"June 17, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"June 17, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,12715
"June 16, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"June 16, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,26016
"June 15, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"June 15, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,28418
"June 14, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-67000
"June 14, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,65132
"June 13, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"June 13, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,65132
"June 12, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"June 12, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,23419
"June 11, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-10000
"June 11, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,2511
"June 10, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-20000
"June 10, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,3011
"June 9, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-52100
