date,Total Lower 48
2020-10-09 00:00:00,46
2020-10-02 00:00:00,75
2020-09-25 00:00:00,76
2020-09-18 00:00:00,66
2020-09-11 00:00:00,89
2020-09-04 00:00:00,70
2020-08-28 00:00:00,35
2020-08-21 00:00:00,45
2020-08-14 00:00:00,43
2020-08-07 00:00:00,58
2020-07-31 00:00:00,33
2020-07-24 00:00:00,26
2020-07-17 00:00:00,37
2020-07-10 00:00:00,45
2020-07-03 00:00:00,56
2020-06-26 00:00:00,65
2020-06-19 00:00:00,120
2020-06-12 00:00:00,85
2020-06-05 00:00:00,93
2020-05-29 00:00:00,102
2020-05-22 00:00:00,109
2020-05-15 00:00:00,81
2020-05-08 00:00:00,103
2020-05-01 00:00:00,109
2020-04-24 00:00:00,70
2020-04-17 00:00:00,43
2020-04-10 00:00:00,73
2020-04-03 00:00:00,38
2020-03-27 00:00:00,-19
2020-03-20 00:00:00,-29
2020-03-13 00:00:00,-9
2020-03-06 00:00:00,-48
2020-02-28 00:00:00,-109
2020-02-21 00:00:00,-143
2020-02-14 00:00:00,-151
2020-02-07 00:00:00,-115
2020-01-31 00:00:00,-137
2020-01-24 00:00:00,-201
2020-01-17 00:00:00,-92
2020-01-10 00:00:00,-109
2020-01-03 00:00:00,-44
2019-12-27 00:00:00,-58
2019-12-20 00:00:00,-161
2019-12-13 00:00:00,-107
2019-12-06 00:00:00,-73
2019-11-29 00:00:00,-19
2019-11-22 00:00:00,-28
2019-11-15 00:00:00,-94
2019-11-08 00:00:00,3
2019-11-01 00:00:00,34
2019-10-25 00:00:00,89
2019-10-18 00:00:00,87
2019-10-11 00:00:00,104
2019-10-04 00:00:00,98
2019-09-27 00:00:00,112
2019-09-20 00:00:00,102
2019-09-13 00:00:00,84
2019-09-06 00:00:00,78
2019-08-30 00:00:00,84
2019-08-23 00:00:00,60
2019-08-16 00:00:00,59
2019-08-09 00:00:00,49
2019-08-02 00:00:00,55
2019-07-26 00:00:00,65
2019-07-19 00:00:00,36
2019-07-12 00:00:00,62
2019-07-05 00:00:00,81
2019-06-28 00:00:00,89
2019-06-21 00:00:00,98
2019-06-14 00:00:00,115
2019-06-07 00:00:00,102
2019-05-31 00:00:00,119
2019-05-24 00:00:00,114
2019-05-17 00:00:00,100
2019-05-10 00:00:00,106
2019-05-03 00:00:00,85
2019-04-26 00:00:00,123
2019-04-19 00:00:00,92
2019-04-12 00:00:00,92
2019-04-05 00:00:00,25
2019-03-29 00:00:00,23
2019-03-22 00:00:00,-36
2019-03-15 00:00:00,-47
2019-03-08 00:00:00,-200
2019-03-01 00:00:00,-149
2019-02-22 00:00:00,-166
2019-02-15 00:00:00,-177
2019-02-08 00:00:00,-78
2019-02-01 00:00:00,-237
2019-01-25 00:00:00,-173
2019-01-18 00:00:00,-163
2019-01-11 00:00:00,-81
2019-01-04 00:00:00,-91
2018-12-28 00:00:00,-20
2018-12-21 00:00:00,-48
2018-12-14 00:00:00,-141
2018-12-07 00:00:00,-77
2018-11-30 00:00:00,-63
2018-11-23 00:00:00,-59
2018-11-16 00:00:00,-134
2018-11-09 00:00:00,39
2018-11-02 00:00:00,65
2018-10-26 00:00:00,48
2018-10-19 00:00:00,58
2018-10-12 00:00:00,81
2018-10-05 00:00:00,90
2018-09-28 00:00:00,98
2018-09-21 00:00:00,46
2018-09-14 00:00:00,86
2018-09-07 00:00:00,69
2018-08-31 00:00:00,63
2018-08-24 00:00:00,69
2018-08-17 00:00:00,49
2018-08-10 00:00:00,33
2018-08-03 00:00:00,48
2018-07-27 00:00:00,33
2018-07-20 00:00:00,24
2018-07-13 00:00:00,45
2018-07-06 00:00:00,51
2018-06-29 00:00:00,78
2018-06-22 00:00:00,66
2018-06-15 00:00:00,95
2018-06-08 00:00:00,96
2018-06-01 00:00:00,92
2018-05-25 00:00:00,96
2018-05-18 00:00:00,91
2018-05-11 00:00:00,106
2018-05-04 00:00:00,89
2018-04-27 00:00:00,62
2018-04-20 00:00:00,-18
2018-04-13 00:00:00,-36
2018-04-06 00:00:00,-19
2018-03-30 00:00:00,-29
2018-03-23 00:00:00,-63
2018-03-16 00:00:00,-86
2018-03-09 00:00:00,-93
2018-03-02 00:00:00,-57
2018-02-23 00:00:00,-78
2018-02-16 00:00:00,-124
2018-02-09 00:00:00,-194
2018-02-02 00:00:00,-119
2018-01-26 00:00:00,-99
2018-01-19 00:00:00,-288
2018-01-12 00:00:00,-183
2018-01-05 00:00:00,-359
2017-12-29 00:00:00,-206
2017-12-22 00:00:00,-112
2017-12-15 00:00:00,-182
2017-12-08 00:00:00,-69
2017-12-01 00:00:00,2
2017-11-24 00:00:00,-33
2017-11-17 00:00:00,-46
2017-11-10 00:00:00,-18
2017-11-03 00:00:00,15
2017-10-27 00:00:00,65
2017-10-20 00:00:00,65
2017-10-13 00:00:00,50
2017-10-06 00:00:00,87
